PMC5503163,Q33887865,Biomarkers for predicting type 2 diabetes development-Can metabolomics improve on existing biomarkers?,Q12206,diabetes mellitus,0.7692307692307693,Q33887865	P921	Q12206
PMC5507267,Q33897730,Short-term rehospitalization across the spectrum of age and insurance types in the United States.,Q12206,Diabetes Mellitus,0.7142857142857143,Q33897730	P921	Q12206
PMC5504815,Q33892731,Positive association between musclin and insulin resistance in obesity: evidence of a human study and an animal experiment.,Q12174,Obesity,0.625,Q33892731	P921	Q12174
PMC5507263,Q33897714,Increased urinary prostaglandin E2 metabolite: A potential therapeutic target of Gitelman syndrome.,Q1053120,Gitelman syndrome,0.5,Q33897714	P921	Q1053120
PMC5507311,Q33897885,Direct medical cost associated with diabetic retinopathy severity in type 2 diabetes in Singapore.,Q631361,Diabetic retinopathy,0.47619047619047616,Q33897885	P921	Q631361
PMC5504722,Q33892377,Serum lactate level and mortality in metformin-associated lactic acidosis requiring renal replacement therapy: a systematic review of case reports and case series.,Q1500373,lactic acidosis,0.45454545454545453,Q33892377	P921	Q1500373
PMC5504847,Q33892872,Biochemical characterization and 1H NMR based metabolomics revealed Melicope lunu-ankenda leaf extract a potent anti-diabetic agent in rats.,Q12174,obesity,0.38461538461538464,Q33892872	P921	Q12174
PMC5480102,Q33823342,Acute airway compromise due to parathyroid tumour apoplexy: an exceptionally rare and potentially life-threatening presentation.,Q1344835,hyperparathyroidism,0.38461538461538464,Q33823342	P921	Q1344835
PMC5491170,Q33853527,Combined poor diabetes control indicators are associated with higher risks of diabetic retinopathy and macular edema than poor glycemic control alone.,Q12206,Diabetes Mellitus,0.38461538461538464,Q33853527	P921	Q12206
PMC5493113,Q33859212,SGLT2 inhibitors as add on therapy in type 2 diabetes: a real world study.,Q12206,diabetes mellitus,0.38461538461538464,Q33859212	P921	Q12206
PMC5498414,Q33875054,Investigation of newborns with abnormal results in a newborn screening program for four lysosomal storage diseases in Brazil.,Q1479681,mucopolysaccharidosis,0.38461538461538464,Q33875054	P921	Q1479681
PMC5502143,Q33885732,Long-term efficacy and safety of sodium-glucose cotransporter-2 inhibitors as add-on to metformin treatment in the management of type 2 diabetes mellitus: A meta-analysis.,Q12206,diabetes mellitus,0.38461538461538464,Q33885732	P921	Q12206
PMC5477452,Q33815573,Dose Modification of Antidiabetic Agents in Patients with Type 2 Diabetes Mellitus and Heart Failure.,Q12206,diabetes mellitus,0.35714285714285715,Q33815573	P921	Q12206
PMC5493335,Q33860008,Effects of canagliflozin on weight loss in high-fat diet-induced obese mice.,Q12206,Diabetes Mellitus,0.35714285714285715,Q33860008	P921	Q12206
