PMC5507314,Q33897901,Plasma bradykinin and early diabetic nephropathy lesions in type 1 diabetes mellitus.,Q422185,enalapril,1,Q33897901	P921	Q422185
PMC5513848,Q38661428,Evaluation of the stability of linezolid in aqueous solution and commonly used intravenous fluids.,Q2314,Sodium chloride,1,Q38661428	P921	Q2314
PMC5513880,Q38661427,Pattern of statin use changes following media coverage of its side effects.,Q670131,Simvastatin,0.8,Q38661427	P921	Q670131
PMC5503173,Q33887904,Contribution of molecular analysis to the typification of the non-functioning pituitary adenomas.,Q423308,cabergoline,0.7142857142857143,Q33887904	P921	Q423308
PMC5486148,Q33839188,Fucaceae: A Source of Bioactive Phlorotannins.,Q422252,dexamethasone,0.7142857142857143,Q33839188	P921	Q422252
PMC5488394,Q33846431,30 YEARS OF THE MINERALOCORTICOID RECEPTOR: Mineralocorticoid receptor antagonists: 60 years of research and development.,Q422188,spironolactone,0.7142857142857143,Q33846431	P921	Q422188
PMC5491159,Q33853484,Renal sodium handling and sodium sensitivity.,Q2314,sodium chloride,0.7142857142857143,Q33853484	P921	Q2314
PMC5492455,Q33857373,An Expanding World of Novel Psychoactive Substances: Opioids.,Q179452,amphetamine,0.7142857142857143,Q33857373	P921	Q179452
PMC5500902,Q33882297,"Resolution of Cochlear Inflammation: Novel Target for Preventing or Ameliorating Drug-, Noise- and Age-related Hearing Loss.",Q422252,dexamethasone,0.7142857142857143,Q33882297	P921	Q422252
PMC5501617,Q33884323,Functional analysis of the zebrafish ortholog of HMGCS1 reveals independent functions for cholesterol and isoprenoids in craniofacial development.,Q668093,atorvastatin,0.7142857142857143,Q33884323	P921	Q668093
PMC5504756,Q33892516,The impact of the time of drug administration on the effectiveness of combined treatment of hypercholesterolemia with Rosuvastatin and Ezetimibe (RosEze): study protocol for a randomized controlled trial.,Q417997,ezetimibe,0.7142857142857143,Q33892516	P921	Q417997
PMC5514478,Q33912919,Generic atorvastatin is as effective as the brand-name drug (LIPITOR®) in lowering cholesterol levels: a cross-sectional retrospective cohort study.,Q668093,atorvastatin,0.7142857142857143,Q33912919	P921	Q668093
PMC5477442,Q33815513,Menstrual Cycle Abnormalities in Patients with Prolactinoma and Drug-induced Hyperprolactinemia.,Q423308,cabergoline,0.625,Q33815513	P921	Q423308
PMC5482844,Q33829987,Prednisolone induces apoptosis in corneal epithelial cells through the intrinsic pathway.,Q422252,dexamethasone,0.625,Q33829987	P921	Q422252
PMC5485891,Q33838191,Hospital admissions and mortality in patients with COPD exacerbations and vertebral body compression fractures.,Q424972,prednisone,0.625,Q33838191	P921	Q424972
PMC5494169,Q33862676,"Construction, internal validation and implementation in a mobile application of a scoring system to predict nonadherence to proton pump inhibitors.",Q422210,Omeprazole,0.625,Q33862676	P921	Q422210
PMC5495996,Q33867559,Associations of centrally acting ACE inhibitors with cognitive decline and survival in Alzheimer's disease.,Q421119,captopril,0.625,Q33867559	P921	Q421119
PMC5496293,Q33868919,Acylation-stimulating protein is a surrogate biomarker for acute myocardial infarction: Role of statins.,Q668093,atorvastatin,0.625,Q33868919	P921	Q668093
PMC5508614,Q33900951,Association of schizophrenia onset age and white matter integrity with treatment effect of D-cycloserine: a randomized placebo-controlled double-blind crossover study.,Q418508,cycloserine,0.625,Q33900951	P921	Q418508
PMC5498977,Q33876767,IgA N- and O-glycosylation profiling reveals no association with the pregnancy-related improvement in rheumatoid arthritis.,Q424972,prednisone,0.5714285714285714,Q33876767	P921	Q424972
PMC5457744,Q33760070,An observational study of 110 elderly lithium-treated patients followed up for 6 years with particular reference to renal function.,Q773449,levothyroxine,0.5555555555555556,Q33760070	P921	Q773449
PMC5489567,Q33849385,Protein Lipidation As a Regulator of Apoptotic Calcium Release: Relevance to Cancer.,Q670131,Simvastatin,0.5555555555555556,Q33849385	P921	Q670131
PMC5497638,Q33872886,Comparative Efficacy and Toxicity of Different Species of Sargassum in Haizao Yuhu Decoction in PTU-Induced Goiter Rats.,Q20817224,Thyroglobulin,0.5555555555555556,Q33872886	P921	Q20817224
PMC5501533,Q33883980,Somatosensory function in patients with secondary adrenal insufficiency treated with two different doses of hydrocortisone-Results from a randomized controlled trial.,Q190875,hydrocortisone,0.5555555555555556,Q33883980	P921	Q190875
PMC5537210,Q38643184,Clinical practice guidelines for congenital hyperinsulinism.,Q420009,diazoxide,0.5555555555555556,Q38643184	P921	Q420009
PMC5537213,Q38626921,Benign course after acute high dose levothyroxine intoxication in a 3-year-old boy.,Q773449,levothyroxine,0.5555555555555556,Q38626921	P921	Q773449
PMC5513856,Q38661374,Induction regimens for transplant-eligible patients with newly diagnosed multiple myeloma: a network meta-analysis of randomized controlled trials.,Q422252,dexamethasone,0.5,Q38661374	P921	Q422252
PMC5479561,Q33821866,Plasma cell neoplasia after kidney transplantation: French cohort series and review of the literature.,Q422252,dexamethasone,0.5,Q33821866	P921	Q422252
PMC5481449,Q33826381,How Postmortem Redistribution of MDMA in Acute Alcohol-MDMA Combined-Use Rats Change under Effects of Alcohol.,Q179452,amphetamine,0.5,Q33826381	P921	Q179452
PMC5488481,Q38706423,Perioperative systemic steroid for rapid recovery in total knee and hip arthroplasty: a systematic review and meta-analysis of randomized trials.,Q422252,dexamethasone,0.5,Q38706423	P921	Q422252
PMC5491912,Q33855395,Incidence and Severity of Prescribing Errors in Parenteral Nutrition for Pediatric Inpatients at a Neonatal and Pediatric Intensive Care Unit.,Q184630,potassium chloride,0.5,Q33855395	P921	Q184630
PMC5511941,Q33907242,Treatment of connective tissue disease-associated interstitial lung disease: the pulmonologist's point of view.,Q421094,hydroxychloroquine,0.5,Q33907242	P921	Q421094
PMC5507254,Q33897671,"Renin inhibition improves metabolic syndrome, and reduces angiotensin II levels and oxidative stress in visceral fat tissues in fructose-fed rats.",Q139195,calcitriol,0.5,Q33897671	P921	Q139195
PMC5507263,Q33897714,Increased urinary prostaglandin E2 metabolite: A potential therapeutic target of Gitelman syndrome.,Q2314,sodium-chloride,0.5,Q33897714	P921	Q2314
PMC5477434,Q33815469,Myopathy in Patients Taking Atorvastatin: A Pilot Study.,Q668093,atorvastatin,0.45454545454545453,Q33815469	P921	Q668093
