PMC5503272,Q33888327,Potential malignant transformation in the gastric mucosa of immunodeficient mice with persistent Mycoplasma penetrans infection.,Q408524,cyclophosphamide,1,Q33888327	P921	Q408524
PMC5507285,Q33897790,Spatial location of neutralizing and non-neutralizing B cell epitopes on domain 1 of ricin toxin's binding subunit.,Q181354,biotin,1,Q33897790	P921	Q181354
PMC5507289,Q33897801,Spatial distribution of cannabinoid receptor type 1 (CB1) in normal canine central and peripheral nervous system.,Q181354,biotin,1,Q33897801	P921	Q181354
PMC5507312,Q33897890,Cyclophosphamide leads to persistent deficits in physical performance and in vivo mitochondria function in a mouse model of chemotherapy late effects.,Q408524,cyclophosphamide,1,Q33897890	P921	Q408524
PMC5513878,Q38661390,Emerging treatments for HER2-positive early-stage breast cancer: focus on neratinib.,Q408524,cyclophosphamide,1,Q38661390	P921	Q408524
PMC5485891,Q33838191,Hospital admissions and mortality in patients with COPD exacerbations and vertebral body compression fractures.,Q424972,prednisone,0.7142857142857143,Q33838191	P921	Q424972
PMC5490508,Q33851746,Inclusion Body Myositis: A Case Presenting with Respiratory Failure and Autopsy Findings Leading to the Hypothesis of a Paraneoplastic Cause.,Q424972,prednisone,0.7142857142857143,Q33851746	P921	Q424972
PMC5503170,Q33887891,Cancer trials in sub-Saharan Africa: Aligning research and care.,Q408524,Cyclophosphamide,0.6666666666666666,Q33887891	P921	Q408524
PMC5481325,Q33825976,Cytokines regulate complement receptor immunoglobulin expression and phagocytosis of Candida albicans in human macrophages: A control point in anti-microbial immunity.,Q422252,dexamethasone,0.625,Q33825976	P921	Q422252
PMC5482748,Q33829784,Risk of perforation in balloon dilation associated with steroid injection for preventing esophageal stricture after endoscopic submucosal dissection.,Q1074056,triamcinolone,0.625,Q33829784	P921	Q1074056
PMC5496962,Q33871002,"A Novel Derivative of (-)mycousnine Produced by the Endophytic Fungus Mycosphaerella nawae, Exhibits High and Selective Immunosuppressive Activity on T Cells.",Q367700,cyclosporine,0.625,Q33871002	P921	Q367700
