PMC5503229,Q33888114,Immune profiles and clinical outcomes between sepsis patients with or without active cancer requiring admission to intensive care units.,Q12078,cancer,0.2857142857142857,Q33888114	P921	Q12078
PMC5503938,Q33890093,Human snoRNA-93 is processed into a microRNA-like RNA that promotes breast cancer cell invasion.,Q128581,Breast Cancer,0.24390243902439024,Q33890093	P921	Q128581
PMC5502487,Q38685910,Multiparametric magnetic resonance imaging in mucosal primary head and neck cancer: a prospective imaging biomarker study.,Q1783924,head and neck cancer,0.23809523809523808,Q38685910	P921	Q1783924
PMC5503939,Q33890100,CD44v8-10 as a potential theranostic biomarker for targeting disseminated cancer cells in advanced gastric cancer.,Q12078,cancer,0.23809523809523808,Q33890100	P921	Q12078
PMC5503228,Q33888107,Cancer in Korean patients with end-stage renal disease: A 7-year follow-up.,Q1164529,renal cell carcinoma,0.2,Q33888107	P921	Q1164529
PMC5504034,Q33890351,Differential co-expression analysis reveals a novel prognostic gene module in ovarian cancer.,Q12078,cancer,0.2,Q33890351	P921	Q12078
PMC5503943,Q33890125,Circulating tumor cells in peripheral and pulmonary venous blood predict poor long-term survival in resected non-small cell lung cancer patients.,Q12078,cancer,0.19230769230769232,Q33890125	P921	Q12078
PMC5503265,Q33888276,Expression levels of cleaved caspase-3 and caspase-3 in tumorigenesis and prognosis of oral tongue squamous cell carcinoma.,Q28757362,tongue squamous cell carcinoma,0.17857142857142858,Q33888276	P921	Q28757362
PMC5503170,Q33887891,Cancer trials in sub-Saharan Africa: Aligning research and care.,Q12078,Cancer,0.1694915254237288,Q33887891	P921	Q12078
PMC5477919,Q33816831,Benchmarking life expectancy and cancer mortality: global comparison with cardiovascular disease 1981-2010.,Q128581,breast cancer,0.16666666666666666,Q33816831	P921	Q128581
PMC5498870,Q33876439,Individual and co-expression patterns of nerve growth factor and heme oxygenase-1 predict shorter survival of gastric carcinoma patients.,Q128581,breast cancer,0.16129032258064516,Q33876439	P921	Q128581
PMC5514532,Q33913152,"The role of tumour heterogeneity and clonal cooperativity in metastasis, immune evasion and clinical outcome.",Q12078,cancer,0.16129032258064516,Q33913152	P921	Q12078
PMC5522384,Q38369552,Prognostic role of Glasgow prognostic score in patients with colorectal cancer: evidence from population studies.,Q12078,cancer,0.16129032258064516,Q38369552	P921	Q12078
PMC5524709,Q38652434,Fibulin-3 promotes osteosarcoma invasion and metastasis by inducing epithelial to mesenchymal transition and activating the Wnt/β-catenin signaling pathway.,Q172341,ovarian cancer,0.16129032258064516,Q38652434	P921	Q172341
PMC5526281,Q38661848,Identification of reference miRNAs in plasma useful for the study of oestrogen-responsive miRNAs associated with acquired Protein S deficiency in pregnancy.,Q12078,cancer,0.16129032258064516,Q38661848	P921	Q12078
PMC5529368,Q38659246,Rap2a serves as a potential prognostic indicator of renal cell carcinoma and promotes its migration and invasion through up-regulating p-Akt.,Q1164529,Renal cell carcinoma,0.16129032258064516,Q38659246	P921	Q1164529
